model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,1,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1650,3054,236.19010177300152,263.59680223464966,249.57745899882866,585.9576240000024,1807.2840999993787,0.058260639509305545,0.403584750837731,0.024864536555874513,0.06939267382711588,0.33988931902292985,0.42481656144266466,0.23092269517351827,2026-09-20_02-40-10
KAN,3,25,0.0001,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,29150,53154,437.6459325200012,496.3420317173004,672.891302001517,2458.230158998049,8801.443111999106,0.004193496068084235,0.004103048935911872,0.007012443544692114,0.0032538469092149415,0.0011472240137195965,0.005088323909975962,0.004148272501998054,2026-09-20_02-44-34
KAN,3,25,0.01,2000,2000,,5,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,23850,42554,113.67086441099673,128.40527367591858,148.83534500040696,364.53851699843653,519.2114220008079,0.00498775009584603,0.008557480489896,0.00640512356032006,0.004515292274354686,0.0032003318849835602,0.010343196691533482,0.006772615292871015,2026-09-20_02-52-50
KAN,3,25,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,358.1221838040001,396.4598026275635,169.9351019997266,190.0862379989121,2295.7820600022387,0.004297514592602681,0.0025894583508672435,0.010376275603393385,0.002271260922339113,0.0013862274332050847,0.002990535323421296,0.0034434864717349622,2026-09-20_02-54-59
KAN,3,35,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,56210,102414,460.0856527110009,516.3798184394836,2717.49495900076,7735.715180002444,18077.260132999072,0.002325962929838494,0.0037419464871210222,0.003819885264427873,0.001827988818308701,0.0006914436590293294,0.004758780763151588,0.003033954708479758,2026-09-20_03-01-35
KAN,3,35,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,56210,102414,456.2913894339981,509.252991437912,2859.7458409967658,6875.736609999876,18113.217504000204,0.002971815242922838,0.010043076831509153,0.00483043406281414,0.002352275636292404,0.0016433739914588253,0.012842977778192592,0.006507446037215996,2026-09-20_03-10-12
KAN,3,25,0.01,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,34450,63754,205.34321651500068,241.6868441104889,1759.918502997607,6206.5039170011005,14621.551969001302,0.004156325837298149,0.006972740428378407,0.0056913427343626,0.0036446535382766653,0.0027380846632083745,0.008384292350101751,0.0055645331328382786,2026-09-20_03-18-41
KAN,1,35,0.01,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2730,5114,254.9555171510001,270.2987017631531,737.0528250030475,2305.1621230006276,5576.993427999696,0.020335108448435186,0.0475313633489217,0.016917725875519343,0.021474235972740466,0.02906860040117311,0.053685617664837884,0.03393323589867844,2026-09-20_03-22-43
KAN,3,15,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,10890,19894,216.04789045099824,222.087082862854,81.19925799837802,365.61877600252046,1484.0677950014651,0.006204750512702774,0.0058723750558762906,0.004643045983020755,0.006725318689263446,0.0031536312593575555,0.0067786229880492,0.006038562784289532,2026-09-20_03-27-13
KAN,3,35,0.01,2000,2000,,3,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,35770,61534,127.36148786700141,130.021879196167,40.29055799765047,103.19912200066028,236.92117300015525,0.006511374671433066,0.006125150057679761,0.01259041291377534,0.004485028590652308,0.0032156068160467074,0.00709499780489078,0.0063182623645564135,2026-09-20_03-30-55
KAN,2,35,0.001,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,29260,53344,369.3766280239979,396.56633377075195,1910.6706579987076,5365.202602999489,12029.294960000698,0.004845849982522887,0.00434970412539951,0.005875969361585697,0.004502476856168617,0.000868445242044443,0.005510123753184531,0.004597777053961198,2026-09-20_03-33-05
KAN,1,15,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,900,1654,210.53354827899966,211.71378564834595,16.083056998468237,42.36355399916647,84.92935799949919,0.06942425107423714,0.42191558290908854,0.07186053651027863,0.06861215592888996,0.4153115563442133,0.42411692509738025,0.24566991699166285,2026-09-20_03-39-42
KAN,3,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,29150,53154,214.8074997720032,234.84583497047424,728.8705829996616,2858.1512499986275,10395.918021000398,0.0035124702155816495,0.004362244035050817,0.00828292666581409,0.0019223180655041686,0.0015364846804496,0.005304163819917889,0.003937357125316233,2026-09-20_03-43-13
KAN,3,35,0.0001,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,45990,81974,479.705231300999,506.4092936515808,1375.5777799997304,4521.624327000609,13190.487364001456,0.005715264950781551,0.007641659725469361,0.009141642400274382,0.00457313913428394,0.005242099415635714,0.008441513162080576,0.006678462338125456,2026-09-20_03-47-08
KAN,2,25,0.0001,2000,2000,,7,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,16800,30904,294.8326204469995,304.3248038291931,496.60008499995456,1453.6842460001935,4104.852022999694,0.004050270354800304,0.005010315485293991,0.007671943747900166,0.0028430458904336836,0.0014364181826915052,0.006201614586161486,0.004530292920047148,2026-09-20_03-55-35
KAN,1,25,0.0001,2000,2000,,5,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1350,2454,67.08074180900076,68.81819820404053,54.62218100001337,128.5810989975289,255.95003399939742,0.25595374688544514,0.15793525574808728,0.37314303723771886,0.21689065010135386,0.1952791535722916,0.14548728980668582,0.20694450131676623,2026-09-20_04-00-39
KAN,3,35,0.01,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,51100,92194,385.13193209100064,406.62645196914673,1400.0240289969952,3678.6839550004515,10534.460737002519,0.0026055454239688578,0.02153080359605413,0.002330269875424471,0.0026973039401503194,0.0018460455682582683,0.028092389605319415,0.012068174510011494,2026-09-20_04-01-48
KAN,3,35,0.001,2000,2000,,5,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,45990,81974,126.70375190500272,134.1431782245636,195.15950699860696,1029.2315579972637,3415.974895000545,0.020287750945338006,0.017167573482630007,0.032101587401227115,0.016349805460041642,0.005016089005410143,0.021218068308369965,0.018727662213984007,2026-09-20_04-08-35
