model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,pde_alpha,pde_beta,epsilon,parameters,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,2,35,0.01,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,31920,304.1028483679984,315.4504117965698,1073.5246049880516,2870.125294997706,6724.671635995037,0.0024723961840481274,0.000704039157688534,0.004378225335311365,0.0018371198002937144,0.0008107962173116764,0.0006684534711474865,0.0015882176708683308,2026-09-21_00-35-20
KAN,3,25,0.01,2000,2000,,3,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,21200,386.2855300289957,392.75425004959106,416.9934700039448,1202.9421829938656,3214.5962780050468,0.001482256866405537,0.000603997581768624,0.0014811943529937659,0.001482611037542794,0.0004239530922899201,0.0006640124115948585,0.0010431272240870805,2026-09-21_00-40-35
KAN,3,25,0.0001,2000,2000,,3,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,21200,388.04136108800594,394.41588401794434,404.93833299842663,1189.255568999215,3152.8290220012423,0.003745906025246225,0.001163604250384699,0.004428787721755424,0.003518278793076492,0.0010994188468516236,0.0011849993848957242,0.002454755137815462,2026-09-21_00-47-08
KAN,3,25,0.01,2000,2000,,3,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,21200,388.2388344719948,394.80283522605896,429.4966620072955,1237.8518309997162,3244.96837699553,0.0016916366139675077,0.0006957072406158157,0.0018818003394868877,0.0016282487054610473,0.0005841576172950269,0.0007328904483894121,0.0011936719272916617,2026-09-21_00-53-43
KAN,2,15,0.001,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,7020,368.48886444300297,375.11862444877625,315.9301459963899,1360.0035829877015,3161.49074700661,0.0018191423664429727,0.0006809809504720708,0.0030435487771391474,0.0014110068962109143,0.0006228569903663445,0.0007003556038406463,0.0012500616584575218,2026-09-21_01-00-17
KAN,1,25,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,1950,259.4621394179994,266.02806973457336,441.38263500644825,1506.2472879944835,3893.721529006143,0.004476789705678552,0.0006697313991743958,0.00511262712906039,0.004264843897884607,0.0009052858472413071,0.0005912132498187587,0.002573260552426474,2026-09-21_01-06-33
KAN,3,15,0.01,2000,2000,,5,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,9900,382.4793485419941,386.3154592514038,39.33423399575986,109.57549499289598,1069.550291998894,0.0013627921535614583,0.00031247072800248015,0.0010561588147017821,0.0014650032665146837,0.00022739794864556258,0.0003408283211214527,0.0008376314407819692,2026-09-21_01-10-59
KAN,3,15,0.001,2000,2000,,5,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,9900,382.4593998019991,386.4649829864502,43.40687100193463,116.68545599968638,1074.2203789995983,0.0029621709674537327,0.0007583201843387481,0.0036125795419458995,0.0027453681092896765,0.0009416925857539112,0.0006971960505336937,0.0018602455758962404,2026-09-21_01-17-25
KAN,3,15,0.01,2000,2000,,5,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,9900,384.9240377630049,388.7372326850891,45.62608999549411,107.06329999084119,1057.9402020084672,0.001824888048456385,0.0005082757214296187,0.0011258226492619362,0.0020579098481878673,0.00043400309894132266,0.0005330332622590508,0.0011665818849430018,2026-09-21_01-23-51
KAN,3,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23850,477.964216324006,496.33424496650696,1286.4494189998368,2973.9558529981878,9431.554975992185,0.001665472182748967,0.0010304569687013337,0.002927081015544538,0.001244935905150443,0.00041210219013868075,0.001236575228222218,0.0013479645757251504,2026-09-21_01-30-20
